,precision,recall,f1-score,support
daisy,0.8583333333333333,0.944954128440367,0.8995633187772926,109.0
dandelion,0.950920245398773,0.9171597633136095,0.9337349397590361,169.0
rose,0.91,0.8425925925925926,0.875,108.0
sunflower,0.9636363636363636,0.8833333333333333,0.9217391304347826,120.0
tulip,0.8589743589743589,0.9370629370629371,0.8963210702341137,143.0
accuracy,0.9075500770416025,0.9075500770416025,0.9075500770416025,0.9075500770416025
macro avg,0.9083728602685657,0.9050205509485678,0.9052716918410451,649.0
weighted avg,0.9106526221501123,0.9075500770416025,0.9077599618823639,649.0
